Unit Serial No : SM245-KSP200281-EU
Integration Time : 100 ms
Time Average: 10
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : 0068
Measurement No : 1
Measurement Time : 12/09/2022   15:34:46

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
638.0000      	15673.9812    	5216.70020    
639.0000      	15649.4523    	4442.50000    
640.0000      	15625.0000    	3735.10010    
641.0000      	15600.6240    	3392.89990    
642.0000      	15576.3240    	3071.60010    
643.0000      	15552.0995    	2881.00000    
644.0000      	15527.9503    	2826.30005    
645.0000      	15503.8760    	2793.19995    
646.0000      	15479.8762    	2775.80005    
647.0000      	15455.9505    	2768.00000    
648.0000      	15432.0988    	2767.10010    
649.0000      	15408.3205    	2727.80005    
650.0000      	15384.6154    	2732.80005    
651.0000      	15360.9831    	2715.50000    
652.0000      	15337.4233    	2726.69995    
653.0000      	15313.9357    	2718.19995    
654.0000      	15290.5199    	2753.19995    
655.0000      	15267.1756    	2706.10010    
656.0000      	15243.9024    	2685.80005    
657.0000      	15220.7002    	2706.19995    
658.0000      	15197.5684    	2651.80005    
659.0000      	15174.5068    	2700.00000    
660.0000      	15151.5152    	2664.00000    
661.0000      	15128.5930    	2676.69995    
662.0000      	15105.7402    	2692.30005    
663.0000      	15082.9563    	2672.00000    
664.0000      	15060.2410    	2660.10010    
665.0000      	15037.5940    	2647.89990    
666.0000      	15015.0150    	2655.19995    
667.0000      	14992.5037    	2670.00000    
668.0000      	14970.0599    	2705.30005    
669.0000      	14947.6831    	2706.80005    
670.0000      	14925.3731    	2655.60010    
671.0000      	14903.1297    	2670.60010    
672.0000      	14880.9524    	2717.00000    
673.0000      	14858.8410    	2702.89990    
674.0000      	14836.7953    	2676.50000    
675.0000      	14814.8148    	2714.10010    
676.0000      	14792.8994    	2696.19995    
677.0000      	14771.0487    	2686.39990    
678.0000      	14749.2625    	2657.39990    
679.0000      	14727.5405    	2702.10010    
680.0000      	14705.8824    	2696.89990    
681.0000      	14684.2878    	2644.30005    
682.0000      	14662.7566    	2655.39990    
683.0000      	14641.2884    	2748.89990    
684.0000      	14619.8830    	2661.89990    
685.0000      	14598.5401    	2681.60010    
686.0000      	14577.2595    	2708.19995    
687.0000      	14556.0408    	2711.60010    
688.0000      	14534.8837    	2693.89990    
689.0000      	14513.7881    	2722.00000    
690.0000      	14492.7536    	2720.00000    
691.0000      	14471.7800    	2739.50000    
692.0000      	14450.8671    	2722.89990    
693.0000      	14430.0144    	2763.69995    
694.0000      	14409.2219    	2801.39990    
695.0000      	14388.4892    	2835.60010    
696.0000      	14367.8161    	2781.19995    
697.0000      	14347.2023    	2777.50000    
698.0000      	14326.6476    	2818.60010    
699.0000      	14306.1516    	2855.39990    
700.0000      	14285.7143    	2824.80005    
701.0000      	14265.3352    	2839.19995    
702.0000      	14245.0142    	2847.50000    
703.0000      	14224.7511    	2870.00000    
704.0000      	14204.5455    	3229.50000    
705.0000      	14184.3972    	3504.60010    
706.0000      	14164.3059    	3079.00000    
707.0000      	14144.2716    	4886.00000    
708.0000      	14124.2938    	15745.59961   
709.0000      	14104.3724    	10722.29980   
710.0000      	14084.5070    	3376.30005    
711.0000      	14064.6976    	3090.39990    
712.0000      	14044.9438    	3036.89990    
713.0000      	14025.2454    	3048.30005    
714.0000      	14005.6022    	2973.69995    
715.0000      	13986.0140    	2997.60010    
716.0000      	13966.4804    	2992.00000    
717.0000      	13947.0014    	2990.19995    
718.0000      	13927.5766    	3060.39990    
719.0000      	13908.2058    	3141.00000    
720.0000      	13888.8889    	3258.89990    
721.0000      	13869.6255    	3045.00000    
722.0000      	13850.4155    	3086.39990    
723.0000      	13831.2586    	3129.00000    
724.0000      	13812.1547    	3143.80005    
725.0000      	13793.1034    	3351.10010    
726.0000      	13774.1047    	3502.50000    
727.0000      	13755.1582    	4018.60010    
728.0000      	13736.2637    	3198.00000    
729.0000      	13717.4211    	3401.19995    
730.0000      	13698.6301    	4760.70020    
731.0000      	13679.8906    	3910.30005    
732.0000      	13661.2022    	3327.69995    
733.0000      	13642.5648    	3287.19995    
734.0000      	13623.9782    	3134.89990    
735.0000      	13605.4422    	3151.60010    
736.0000      	13586.9565    	3142.89990    
737.0000      	13568.5210    	3154.39990    
738.0000      	13550.1355    	3192.50000    
739.0000      	13531.7997    	3214.80005    
740.0000      	13513.5135    	3194.89990    
741.0000      	13495.2767    	3197.30005    
742.0000      	13477.0889    	3107.69995    
743.0000      	13458.9502    	3112.69995    
744.0000      	13440.8602    	3147.69995    
745.0000      	13422.8188    	3161.89990    
746.0000      	13404.8257    	3371.80005    
747.0000      	13386.8809    	3112.19995    
748.0000      	13368.9840    	3125.69995    
749.0000      	13351.1348    	3304.89990    
750.0000      	13333.3333    	3326.00000    
751.0000      	13315.5792    	4246.70020    
752.0000      	13297.8723    	3213.30005    
753.0000      	13280.2125    	3052.39990    
754.0000      	13262.5995    	3234.69995    
755.0000      	13245.0331    	3580.80005    
756.0000      	13227.5132    	3877.60010    
757.0000      	13210.0396    	3240.89990    
758.0000      	13192.6121    	2961.80005    
759.0000      	13175.2306    	2921.39990    
760.0000      	13157.8947    	2929.39990    
761.0000      	13140.6045    	2868.30005    
762.0000      	13123.3596    	2872.89990    
763.0000      	13106.1599    	2849.00000    
764.0000      	13089.0052    	2829.10010    
765.0000      	13071.8954    	2807.80005    
766.0000      	13054.8303    	2790.00000    
767.0000      	13037.8096    	2802.19995    
768.0000      	13020.8333    	2786.69995    
769.0000      	13003.9012    	2757.89990    
770.0000      	12987.0130    	2748.39990    
771.0000      	12970.1686    	2760.80005    
772.0000      	12953.3679    	2699.19995    
773.0000      	12936.6106    	2701.60010    
774.0000      	12919.8966    	2687.39990    
775.0000      	12903.2258    	2702.50000    
776.0000      	12886.5979    	2665.69995    
777.0000      	12870.0129    	2642.80005    
778.0000      	12853.4704    	2671.30005    
779.0000      	12836.9705    	2639.69995    
780.0000      	12820.5128    	2656.39990    
781.0000      	12804.0973    	2651.80005    
782.0000      	12787.7238    	2633.39990    
783.0000      	12771.3921    	2643.19995    
784.0000      	12755.1020    	2614.19995    
785.0000      	12738.8535    	2608.10010    
786.0000      	12722.6463    	2648.00000    
787.0000      	12706.4803    	2647.10010    
788.0000      	12690.3553    	2617.10010    
