Unit Serial No : SM245-KSP200281-EU
Integration Time : 100 ms
Time Average: 10
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : 0068
Measurement No : 1
Measurement Time : 12/09/2022   15:26:09

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
581.0000      	17211.7040    	2852.19995    
582.0000      	17182.1306    	2846.50000    
583.0000      	17152.6587    	2862.39990    
584.0000      	17123.2877    	2870.00000    
585.0000      	17094.0171    	2885.60010    
586.0000      	17064.8464    	2868.60010    
587.0000      	17035.7751    	2857.30005    
588.0000      	17006.8027    	2941.80005    
589.0000      	16977.9287    	2863.50000    
590.0000      	16949.1525    	2862.69995    
591.0000      	16920.4738    	2973.60010    
592.0000      	16891.8919    	2853.00000    
593.0000      	16863.4064    	2873.89990    
594.0000      	16835.0168    	2834.30005    
595.0000      	16806.7227    	2839.30005    
596.0000      	16778.5235    	2836.30005    
597.0000      	16750.4188    	2829.60010    
598.0000      	16722.4080    	2848.30005    
599.0000      	16694.4908    	2832.50000    
600.0000      	16666.6667    	2848.89990    
601.0000      	16638.9351    	2824.80005    
602.0000      	16611.2957    	2813.80005    
603.0000      	16583.7479    	2830.30005    
604.0000      	16556.2914    	2814.30005    
605.0000      	16528.9256    	2825.89990    
606.0000      	16501.6502    	2841.10010    
607.0000      	16474.4646    	2859.60010    
608.0000      	16447.3684    	2839.89990    
609.0000      	16420.3612    	2856.39990    
610.0000      	16393.4426    	2886.50000    
611.0000      	16366.6121    	2962.50000    
612.0000      	16339.8693    	3361.39990    
613.0000      	16313.2137    	3159.10010    
614.0000      	16286.6450    	3000.00000    
615.0000      	16260.1626    	3019.89990    
616.0000      	16233.7662    	2945.19995    
617.0000      	16207.4554    	2929.89990    
618.0000      	16181.2298    	2943.30005    
619.0000      	16155.0889    	2945.69995    
620.0000      	16129.0323    	2966.10010    
621.0000      	16103.0596    	2957.80005    
622.0000      	16077.1704    	2983.19995    
623.0000      	16051.3644    	2989.39990    
624.0000      	16025.6410    	2985.89990    
625.0000      	16000.0000    	3031.89990    
626.0000      	15974.4409    	3015.60010    
627.0000      	15948.9633    	3037.50000    
628.0000      	15923.5669    	3129.39990    
629.0000      	15898.2512    	3214.50000    
630.0000      	15873.0159    	3227.10010    
631.0000      	15847.8605    	3526.69995    
