Unit Serial No : SM245-KSP200281-EU
Integration Time : 100 ms
Time Average: 10
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : 0068
Measurement No : 1
Measurement Time : 12/09/2022   15:33:39

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
717.0000      	13947.0014    	2637.50000    
718.0000      	13927.5766    	2696.50000    
719.0000      	13908.2058    	2791.69995    
720.0000      	13888.8889    	2801.39990    
721.0000      	13869.6255    	2640.50000    
722.0000      	13850.4155    	2632.19995    
723.0000      	13831.2586    	2636.10010    
724.0000      	13812.1547    	2632.10010    
725.0000      	13793.1034    	2790.80005    
726.0000      	13774.1047    	2998.50000    
727.0000      	13755.1582    	3364.39990    
728.0000      	13736.2637    	2705.10010    
729.0000      	13717.4211    	2886.89990    
730.0000      	13698.6301    	3816.19995    
731.0000      	13679.8906    	3161.39990    
732.0000      	13661.2022    	2737.60010    
733.0000      	13642.5648    	2710.00000    
734.0000      	13623.9782    	2653.39990    
735.0000      	13605.4422    	2627.80005    
736.0000      	13586.9565    	2654.19995    
737.0000      	13568.5210    	2640.80005    
738.0000      	13550.1355    	2643.30005    
739.0000      	13531.7997    	2630.89990    
740.0000      	13513.5135    	2624.60010    
741.0000      	13495.2767    	2637.89990    
742.0000      	13477.0889    	2630.80005    
743.0000      	13458.9502    	2644.89990    
744.0000      	13440.8602    	2626.89990    
745.0000      	13422.8188    	2666.50000    
746.0000      	13404.8257    	2935.80005    
747.0000      	13386.8809    	2663.80005    
748.0000      	13368.9840    	2670.10010    
749.0000      	13351.1348    	2828.10010    
750.0000      	13333.3333    	2841.30005    
751.0000      	13315.5792    	3588.00000    
752.0000      	13297.8723    	2760.30005    
753.0000      	13280.2125    	2639.89990    
754.0000      	13262.5995    	2759.60010    
755.0000      	13245.0331    	3070.60010    
756.0000      	13227.5132    	3395.10010    
757.0000      	13210.0396    	2854.50000    
758.0000      	13192.6121    	2649.19995    
759.0000      	13175.2306    	2634.80005    
760.0000      	13157.8947    	2635.80005    
761.0000      	13140.6045    	2638.60010    
762.0000      	13123.3596    	2623.69995    
763.0000      	13106.1599    	2623.50000    
764.0000      	13089.0052    	2646.00000    
765.0000      	13071.8954    	2608.19995    
766.0000      	13054.8303    	2641.30005    
767.0000      	13037.8096    	2629.80005    
768.0000      	13020.8333    	2610.10010    
769.0000      	13003.9012    	2620.80005    
770.0000      	12987.0130    	2625.39990    
771.0000      	12970.1686    	2642.30005    
772.0000      	12953.3679    	2615.69995    
773.0000      	12936.6106    	2646.80005    
774.0000      	12919.8966    	2620.80005    
775.0000      	12903.2258    	2632.50000    
776.0000      	12886.5979    	2626.10010    
777.0000      	12870.0129    	2628.00000    
778.0000      	12853.4704    	2632.19995    
779.0000      	12836.9705    	2628.50000    
780.0000      	12820.5128    	2621.00000    
781.0000      	12804.0973    	2648.50000    
782.0000      	12787.7238    	2631.30005    
783.0000      	12771.3921    	2607.80005    
784.0000      	12755.1020    	2626.30005    
785.0000      	12738.8535    	2620.69995    
786.0000      	12722.6463    	2647.39990    
787.0000      	12706.4803    	2632.39990    
788.0000      	12690.3553    	2631.69995    
789.0000      	12674.2712    	2631.89990    
790.0000      	12658.2278    	2592.69995    
791.0000      	12642.2250    	2634.19995    
792.0000      	12626.2626    	2631.10010    
793.0000      	12610.3405    	2625.50000    
794.0000      	12594.4584    	2721.00000    
795.0000      	12578.6164    	2644.50000    
