Pixel	Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
138  	193.4043      	51705.1716    	2858    
139  	193.8517      	51585.8216    	2889    
140  	194.2992      	51467.0092    	2817    
141  	194.7468      	51348.7268    	2792    
142  	195.1944      	51230.9707    	2848    
143  	195.6421      	51113.7416    	2839    
144  	196.0898      	50997.0358    	2826    
145  	196.5376      	50880.8459    	2753    
146  	196.9855      	50765.1686    	2795    
147  	197.4334      	50650.0004    	2784    
148  	197.8813      	50535.3418    	2768    
149  	198.3293      	50421.1896    	2900    
150  	198.7774      	50307.5326    	2856    
151  	199.2255      	50194.3791    	2820    
152  	199.6737      	50081.7144    	2846    
153  	200.1219      	49969.5429    	2883    
154  	200.5702      	49857.8614    	2799    
155  	201.0185      	49746.6629    	2777    
156  	201.4669      	49635.9443    	2823    
157  	201.9153      	49525.7061    	2862    
158  	202.3638      	49415.9417    	2918    
159  	202.8124      	49306.6478    	2834    
160  	203.2610      	49197.8253    	2790    
161  	203.7097      	49089.4674    	2864    
162  	204.1584      	48981.5747    	2864    
163  	204.6072      	48874.1407    	2852    
164  	205.0560      	48767.1661    	2864    
165  	205.5049      	48660.6443    	2780    
166  	205.9538      	48554.5724    	2793    
167  	206.4028      	48448.9512    	2834    
168  	206.8519      	48343.7743    	2779    
169  	207.3010      	48239.0424    	2776    
170  	207.7501      	48134.7491    	2797    
171  	208.1993      	48030.8917    	2824    
172  	208.6486      	47927.4711    	2857    
173  	209.0979      	47824.4844    	2825    
174  	209.5473      	47721.9219    	2872    
175  	209.9967      	47619.7915    	2850    
176  	210.4462      	47518.0801    	2800    
177  	210.8958      	47416.7920    	2852    
178  	211.3453      	47315.9245    	2798    
179  	211.7950      	47215.4716    	2864    
180  	212.2447      	47115.4308    	2809    
181  	212.6944      	47015.8029    	2857    
182  	213.1443      	46916.5820    	2861    
183  	213.5941      	46817.7657    	2867    
184  	214.0441      	46719.3547    	2911    
185  	214.4940      	46621.3467    	2867    
186  	214.9440      	46523.7358    	2832    
187  	215.3941      	46426.5196    	2865    
188  	215.8443      	46329.6990    	2809    
189  	216.2945      	46233.2683    	2796    
190  	216.7447      	46137.2253    	2833    
191  	217.1950      	46041.5708    	2896    
192  	217.6454      	45946.3024    	2936    
193  	218.0958      	45851.4146    	2799    
194  	218.5462      	45756.9051    	2790    
195  	218.9968      	45662.7749    	2844    
196  	219.4473      	45569.0186    	2775    
197  	219.8980      	45475.6338    	2865    
198  	220.3487      	45382.6216    	2818    
199  	220.7994      	45289.9796    	2879    
200  	221.2502      	45197.7027    	2852    
201  	221.7010      	45105.7886    	2839    
202  	222.1519      	45014.2383    	2801    
203  	222.6029      	44923.0466    	2787    
204  	223.0539      	44832.2144    	2855    
205  	223.5050      	44741.7366    	2796    
206  	223.9561      	44651.6141    	2723    
207  	224.4072      	44561.8418    	2864    
208  	224.8585      	44472.4176    	2798    
209  	225.3098      	44383.3427    	2848    
210  	225.7611      	44294.6119    	2794    
211  	226.2125      	44206.2262    	2815    
212  	226.6639      	44118.1807    	2798    
213  	227.1154      	44030.4763    	2804    
214  	227.5670      	43943.1081    	2704    
215  	228.0186      	43856.0772    	2861    
216  	228.4702      	43769.3786    	2826    
217  	228.9220      	43683.0105    	2796    
218  	229.3737      	43596.9739    	2752    
219  	229.8255      	43511.2639    	2850    
220  	230.2774      	43425.8817    	2817    
221  	230.7294      	43340.8224    	2882    
222  	231.1813      	43256.0872    	2847    
223  	231.6334      	43171.6712    	2847    
224  	232.0855      	43087.5756    	2808    
225  	232.5376      	43003.7957    	2877    
226  	232.9898      	42920.3297    	2794    
227  	233.4421      	42837.1787    	2854    
228  	233.8944      	42754.3409    	2841    
229  	234.3468      	42671.8090    	2880    
230  	234.7992      	42589.5895    	2808    
231  	235.2516      	42507.6752    	2782    
232  	235.7042      	42426.0645    	2840    
233  	236.1568      	42344.7555    	2844    
234  	236.6094      	42263.7522    	2802    
235  	237.0621      	42183.0447    	2876    
236  	237.5148      	42102.6366    	2790    
237  	237.9676      	42022.5264    	2817    
238  	238.4205      	41942.7098    	2828    
239  	238.8734      	41863.1851    	2888    
240  	239.3263      	41783.9534    	2821    
241  	239.7793      	41705.0105    	2776    
242  	240.2324      	41626.3573    	2844    
243  	240.6855      	41547.9924    	2848    
244  	241.1387      	41469.9088    	2885    
245  	241.5919      	41392.1130    	2888    
246  	242.0452      	41314.5954    	2877    
247  	242.4986      	41237.3599    	2914    
248  	242.9519      	41160.4049    	2837    
249  	243.4054      	41083.7262    	2848    
250  	243.8589      	41007.3250    	2869    
251  	244.3124      	40931.1972    	2795    
252  	244.7660      	40855.3414    	2797    
253  	245.2197      	40779.7586    	2825    
254  	245.6734      	40704.4448    	2836    
255  	246.1272      	40629.4011    	2816    
256  	246.5810      	40554.6261    	2756    
257  	247.0349      	40480.1133    	2817    
258  	247.4888      	40405.8689    	2911    
259  	247.9428      	40331.8863    	2820    
260  	248.3968      	40258.1643    	2804    
261  	248.8509      	40184.7015    	2770    
262  	249.3051      	40111.5014    	2817    
263  	249.7593      	40038.5552    	2786    
264  	250.2135      	39965.8666    	2888    
265  	250.6678      	39893.4341    	2833    
266  	251.1222      	39821.2540    	2810    
267  	251.5766      	39749.3274    	2829    
268  	252.0311      	39677.6506    	2882    
269  	252.4856      	39606.2222    	2824    
270  	252.9402      	39535.0434    	2819    
271  	253.3948      	39464.1128    	2868    
272  	253.8495      	39393.4268    	2825    
273  	254.3042      	39322.9842    	2824    
274  	254.7590      	39252.7859    	2785    
275  	255.2138      	39182.8309    	2784    
276  	255.6687      	39113.1154    	2829    
277  	256.1237      	39043.6359    	2876    
278  	256.5787      	38974.4005    	2872    
279  	257.0337      	38905.4009    	2848    
280  	257.4889      	38836.6314    	2880    
281  	257.9440      	38768.1047    	2860    
282  	258.3992      	38699.8056    	2834    
283  	258.8545      	38631.7422    	2782    
284  	259.3098      	38563.9087    	2829    
285  	259.7652      	38496.3039    	2877    
286  	260.2206      	38428.9268    	2819    
287  	260.6761      	38361.7806    	2820    
288  	261.1317      	38294.8597    	2770    
